Aha, go on, what happened next?	.i .a'a sei ko di'a co'e ma ba la'e do'i fasnu	A
Eh, just a second, let me finish this.	.a'a cu'i ko denpa lo nu mi mulgau ti	A
La, la, la, I'm not listening.	.a'a nai mi na tinju'i	G
There's going to be a tsunami!	.a'e ba vilxasybo'a	G
It's going to be violent weather!	.a'e ba vlile tcima	G
Today is going to be a good day!	.a'e lo cabdei ba xamgu djedi	G
I'm going to bed.	.a'e nai mi ckakla	G−
Yaaaawn... I'm going to bed.	.a'e nai mi klama lo ckana	G
Quit complaining.	ko sisti lo ka pante	GN
I'm tired. I've got to go now.	.i mi ca tatpi .i .ei mi ca cliva	G-
Ah, this is easy.	.a'i cu'i ti jai frili	G−
It'll be hard for me to wake you up.	mi ba se nandu lo ka gau ce'u do di'a cikna	B
I'll make an effort to get up early every morning.	.ai mi gunka fi lo nu ca ro cerni mi clira sanli	B+
I'm trying to hold it!	.a'i mi ca'o troci lo ka ralte	B+
Nah, why bother fixing it.	.ie nai no da prali fi lo nu cikre ta	B+
Hopefully everything turns out all right.	.a'o ro da ba xamgu	B−
I hope someone sees this.	.a'o su'o da viska ti	G−
I hope that you will get well soon.	.a'o do ba zi di'a kanro	G−
I hope you feel better tomorrow.	.a'o do kanryze'a ca lo bavlamdei	G
Hopefully he will be healthy soon.	.a'o ko'a ba zi kanro	G
I hope he'll get better soon.	.a'o ko'a ba zi zenba lo ka kanro	G−
I hope Tom is in a good mood.	.a'o la .tam. gleki	G*
I hope Alice is in a good mood.	.a'o la .alis. gleki	G*
I hope Mary is in a good mood.	.a'o la .maris. gleki	G*
I hope the light at the end of the tunnel is not from the train coming on me.	.a'o lo gusni be bu'u lo jipno be lo kevlu'a na se cupra su'o trene poi ca'o muvdu mi	AE
Oh, that the Lord would guide my ways.	.a'o lo nobli cu gidva lo se zukte be mi	A ?
I hope to get away from Tokyo for a few days.	.a'o mi bartu la .tokios. ze'a su'o so'u djedi	G
Hopefully, I'll be given an expensive car or at least one that isn't broken.	.a'o mi te dunda su'o karce poi kargu gi'a do'a nai na spofu	G−E
I hope to live in a mansion someday.	.a'o mi xabju lo barda zdani de'i da	A
I hope to see you again.	.a'o mi za'u re'u penmi do	G
I'm hopeless!	.a'o nai	G
Everything will be lost now.	.a'o nai ro da ca se cirko	A
Let this be an example to you.	.a'o ti tarmi tu'a do	?
Oh no!	.a'o nai	?
It's hopeless.	.a'o nai cai	A
There's no hope.	.a'o nai cai	A
That's none of my business.	.a'u cu'i na cuntu mi	G+
I'm interested in why bears are important to Lojbanists.	.a'u lo cribe cu vajni lo jbopre ma	G
This science fiction story seems interesting. Will you lend it to me when you have finished reading it?	.a'u lo ti cumymu'efi'a cu simlu lo ka cinri .i .e'a pai ca lo nu do fi ri ba'o tcidu cu jbera ri do fa mi	A
What happened to you?	.a'u ma ba'o se lifri do	G
What compels you to meow?	.a'u mu'i ma do latcmo	G−
Why are you meowing?	.a'u mu'i ma do latcmo	G
Yuck, that smells like shit!	.a'u nai ta panci simsa lo kalci	G
How fascinating!	.a'u cai	A
I am deeply interested in art.	lo'e larcu cu mutce lo ka cinri mi	B−
You stink.	.a'u nai do tolpu'a se sumne	G
A is enough, but B is not enough.	.a bu banzu .i je ku'i .by. na go'i	G
I'll definitely do that.	.ai sai	G−
I have something to talk over with you.	su'o da zo'u mi djica lo nu mi'o casnu da	B
I'll gouge out your eyes!	.ai lo'o mi do kalvi'u	GN
I am going to explain it completely on the wiki.	.ai mi ciksi ro da pe ta ve cu'u lo .uitki	A
I'm going to scream.	mi pu'o krixa	A
I am going to explain it completely on the wiki.	.ai mi ba mulno ciksi ve cu'u la .uikis.	G
I'll take your suitcase to your room.	.ai mi bevri lo do tcemodani lo do kumfa	B−N
I'm going to scream.	mi pu'o krixa	G−
I'm not staying to listen to this! Have a nice day!	.ai nai mi stali gi'e tinju'i ta .i co'o di'ai fe'o	B−
I'll call first.	.ai mi pa moi fonjo'e	
I've been meaning to read this book.	.ai mi pu'o tcidu lo cukta	?
I'd like to reserve a single room.	.ai mi ternupcpe tu'a lo pa kumfa	?
I'll try to change.	.ai mi troci lo ka cenba	G+
I intend to live forever.	.ai mi ze'e ba jmive	G+
I didn't mean for you to get hurt.	mi pu na djica lo nu do se xrani	B
I'm not planning to work on Monday.	.ai nai mi gunka ca lo pavdei	G
I don't mean to add words of my own devising.	.ai nai mi jmina lo valsi poi mi finti	G
See you at five.	.ai penmi do ti'u li .cy. mu	G
I'll do my best to get it for you, but I don't promise anything.	.ai sai mi cpacu se va'u do nu'e cu'i ku'i	?
I'll do that without fail.	.ai .e'e	?
We can't put a young boy in prison.	.ai nai pifygau lo nanla	A
Do you come?	.ai pei do klama	G+
Are you sure you want to go to Germany?	xu do birti lo du'u do djica lo nu do klama la .doitclan.	B
I'd love to go there one day.	.i .au mi ba klama ru .iu ca da	?
I don't really care who wins.	na mutce lo ka vajni mi ku fa lo du'u ma kau jinga	A
I want a boat that will take me far away from here.	.au da bloti gi'e se pilno mi lo ka mi fu ce'u klama fi lo zvada'o be ti	G
I'd like some plum jam.	.au flaume pesxu	G
I want to get my ears pierced.	.au jadyke'a lo mi kerlo	G−
I would like to go to America.	.au klama la .amerik.	G
My dream is to go to Japan someday.	.au klama la .nipon. ca da	A
Would that the trees might speak on behalf of all things that have roots, and punish those that wrong them!	.au lo tricu cu krati lo ro se genja je cu sfasa lo kusru be .gy.	GE
I want to run.	.au mi bajra	G+
I want to study German.	.au mi bantadni lo bandu'e'u	G
I want to speak in Lojban.	.au mi baupli la .lojban.	G−P
I want to be cautious.	.au mi capyju'i	G
I want to learn.	.au mi cilre	G+
I want to learn Chinese next year.	.au mi cilre fi lo jugbau ca lo bavlamna'a	G
I want to kiss you.	.au mi cinba do	G+
I want to write a book.	.au mi ciska su'o se cukta	A
I want to eat.	.au mi citka	G+
I'd like to eat something.	.au mi citka su'o da	G+
I want to leave.	.au mi cliva	G+
I want to leave school.	.au mi co'u di'i tadni bu'u lo ckule	?
I want to climb this mountain.	.au mi cpare ti voi ve'u cmana	G
I want to be a teacher.	.au mi se jibri lo ka ctuca	B−
I want to dance.	.au mi dansu	G+
That's what I want to know.	.au mi djuno ta	
I want to give Mom a plant.	.au mi dunda su'o spati la .mam.	B+P
I want to have sex with her.	.au mi gletu ra	G
I want to tell her the truth.	.au mi jungau ra lo fatci	G
I want to go to Seattle.	.au mi klama la .siatl.	G
I want to talk to her.	.au mi ko'a tavla	G
I want to talk to him.	.au mi ko'a tavla	G
I want to watch this film.	.au mi kinzga ti	B+
I never want to have kids.	.au mi no roi se panzi da	G
I want to have my own room.	.au su'o kumfa cu se xabju mi po'o	B−
I'd like to ask you about how to do that.	.au mi do retsku be lo se du'u ma kau tadji	B
I just wish I knew how to speak French.	.au mi se frasybau	A?
I want to speak with you.	.au mi tavla do	G+
I want to talk to you about something else.	.au mi tavla do da poi drata	G
I want to talk to you about this list.	.au mi tavla do ti voi liste	G
I'd like to see you.	.au mi viska do	G+
I want to see the streets.	.au mi viska lo klaji	G
I want to see your mother.	.au mi viska lo mamta be do	
I want to live in the city.	.au mi xabju lo tcadu	G
I want to buy another one.	.au mi za'u re'u terve'u	
I don't want to be laughed at.	.au na mi'afra mi	G
I'm reluctant to leave.	.au nai mi cliva	G
I do not want to reply to his letter.	.au nai mi spuda lo ra xatra	G
I wish you happiness.	.au nu do gleki	A
Would you like to hear the story about Paul Bunyan?	.au pei do ve lisri la .pol. .banian.	?P
Do you want to play something?	.au pei kelci su'o da	G
Don't you want to visit her?	.au nai pei do ra vitke	B
I'd like a ticket to Boston.	.au pikta fi lo ka klama la .bostyn.	AP
I'm sleepy!	mi siptcu	A
I'm sleepy.	mi sipta'i	A
I'd like some plum jam.	.au zirsmela pesxu	G
Do you want to go?	.au pei do klama	B
I don't want to go to bed.	.au nai mi ckakla	G
I don't want to go to Italy.	.au nai mi klama la .italias.	CG
I don't want to go to school.	.au nai mi klama lo ckule	G
I don't want to drink anything cold.	.au nai mi pinxe lo lenku	CG
I don't want to talk to you.	.au nai mi tavla do	G
I don't want to read this book.	.au nai mi tcidu fi ti voi cukta	?
I don't want to listen to you.	.au nai mi tinju'i do	AN
Would you like to go see a movie with me?	pei da'i mi jo'u do kinzga su'o da	B−
Shall we wait for you here?	.au pei mi'a vi denpa tu'a do	G
I really want to go to Egypt.	.au sai mi klama la misrygu'e	G
You may go.	.e'a do cliva	G
You may swim.	.e'a do limna	G
You may keep the book.	.e'a do ralte lo cukta	G
You may sit down.	.e'a do tsebi'o	G
Do as you want.	.e'a do zukte lo se kaidji	G
Tom may do whatever he wants to.	.e'a la .tom. cu zukte ro se .aidji be ri	G−
Alice may do whatever he wants to.	.e'a la .alis. cu zukte ro se .aidji be ri	G−
Mary may do whatever he wants to.	.e'a la .maris. cu zukte ro se .aidji be ri	G−
You must not go inside.	.e'a nai do nerkla	G
You can't stay here.	.e'a nai do ti stali	G
Can I join?	.e'a pei mi co'a kansa	G
May we accompany you on your walk?	.e'a pei mi'a do kansa lo ka dzukla	G
Can I ask you something personal?	.e'a pei ro'i mi reisku lo prera'a do	G−
Do come in.	.e'a do nerkla	G−
I forbid you to leave.	.e'a nai sai do cliva	G
You may not pick the flowers.	.e'a nai do crepu lo xrula	G
May I smoke?	.e'a pei damva'u	G
Could I borrow a pencil?	.e'a pei mi jbera lo pinsi	G
May I go to the restroom?	.e'a pei mi klama lo surku'a	G+
May I ask you something?	.e'a pei mi retsku fi do	G
May I speak to Bill?	.e'a pei mi tavla la .bil.	G
You can rely on me.	.e'e do lacri mi	?
You can swim, but I can't.	do .e nai ku'i mi kakne lo ka limna	B+
Show them what you can do! Go for it!	.e'e ko jarco lo se kakne be do	DG
A fish can swim.	lo'e finpe cu kakne lo ka limna	B+
I will do it myself.	.ai mi zukte si'u no da	B
I'll race you to the car!	.e'e mi do bajra jivna fe'e co'u lo karce	G
I'll be okay by myself.	.e'e mi nonkansa	
Whoa, Kelly!	.e'e nai doi .kelis.	DG
Sorry, I have other things to do.	.u'u su'o drata zo'u mi bilga lo ka zukte ri	B
I can't fault you for that.	.e'e nai mi cfifa'i do lau'u	CE
I can't.	.e'e nai	CG
I cannot accept this gift.	.e'i mi na zarcpa lo nu posydu'a ti	CB−
I will do it myself.	.e'e se'a	
I've got to stop you.	.e'i cai mi do stigau	C
Give that to me!	.e'i ko ta mi dunda	G
I have to go meet with Tom.	.ei mi kaikla lo ka penmi la .tom.	PG−
I have to go meet with Alice.	.ei mi kaikla lo ka penmi la .alis.	PG−
I have to go meet with Mary.	.ei mi kaikla lo ka penmi la .maris.	PG−
I have to return this book today.	.ei mi xrudu'a lo vi cukta ca lo cabdei	DA
Do whatever you please!	.e'i nai ko zukte lo se djica be do	
You don't have to tell the truth all the time.	.e'i nai ro roi jetsku	
Feel free to take this.	.ei nai do ti lebna	
Help yourself.	.e'i cu'i lebna ti	
Please say that again!	.e'o cusku krefu	G−
Please fix that.	.e'o do cikre ta	G
Just a minute. I'll see if I can find it in this book.	.e'o do denpa .i mi troci co tolcri fi lo vi cukta	A
Please go on with your story.	.e'o do di'a cusku lo do lisri	G
Can you pass me the salt, please?	.e'o do dunda lo silna mi	G
Please show me another camera.	.e'o gau do mi viska su'o kacma poi drata	A
Speak more slowly, please!	.e'o do jdika lo ka bacru sutra	B?
Could you make me a sandwich?	.e'o do jukpa lo snuji fi'o te dunda mi	G−
Please drink tea.	.e'o do pinxe lo tcati	G
Could you talk more slowly, please?	.e'o do bacru masno zenba	GN
Please will you close the door when you go out.	.e'o do va'o gi cliva gi ganlygau lo vorme	G
Please stay for 5 more minutes.	.e'o do zenba lo ka pu zu co'a sanli ku su'o mentu be li mu	?
Please sit down!	.e'o do zutse	G
If you are free, give me a hand.	.e'o ga nai do zifre gi do mi sidju	G
Could you turn on the light please?	.e'o gau do lo gustci co'a .akti	G
Change the flag, please.	.e'o ko basygau fi lo lanci	?
Please take me away from here!	.e'o ko bevri mi fo ti	G
Please make sure the drinking water is pure.	.e'o ko birti lo du'u lo djacu ku curve	G
Please write about your real experience.	.e'o ko ciska lo srana be lo jetnu selfri be do	G−
Please put on your shoes.	.e'o ko co'a dasni lo cutci	G
Please put your shoes on.	.e'o ko co'a dasni lo cutci	G
Would you ask Tom to call me back, please?	.e'o ko cpedu fi la .tam. fe lo nu jalge fonjo'e mi	
Would you ask Alice to call me back, please?	.e'o ko cpedu fi la .alis. fe lo nu jalge fonjo'e mi	
