.i .a'a sei ko di'a co'e ma ba la'e do'i fasnu	Aha, go on, what happened next?	
.a'a cu'i ko denpa lo nu mi mulgau ti	Eh, just a second, let me finish this.	
.a'a nai mi na tinju'i	La, la, la, I'm not listening.	
.i .a'e pu'o tsunami	There's going to be a tsunami!	
.a'e ba vilxasybo'a	There's going to be a tsunami!	
.a'e ba vlile tcima	It's going to be violent weather!	
.a'e lo cabdei ba xamgu djedi	Today is going to be a good day!	
.a'e nai mi ckakla	I'm going to bed.	−
.a'e nai mi klama lo ckana	Yaaaawn... I'm going to bed.	
ko sisti lo ka pante	Quit complaining.	
.i mi ca tatpi .i .ei mi ca cliva	I'm tired. I've got to go now.	
.a'i cu'i ti jai frili	Ah, this is easy.	−
mi ba se nandu lo ka gau ce'u do di'a cikna	It'll be hard for me to wake you up.	
.ai mi gunka fi lo nu ca ro cerni mi clira sanli	I'll make an effort to get up early every morning.	
.a'i mi ca'o troci lo ka ralte	I'm trying to hold it!	
.ie nai no da prali fi lo nu cikre ta	Nah, why bother fixing it.	
.a'o ro da ba xamgu	Hopefully everything turns out all right.	−
.a'o su'o da viska ti	I hope someone sees this.	−
.a'o do ba zi di'a kanro	I hope that you will get well soon.	−
.a'o do kanryze'a ca lo bavlamdei	I hope you feel better tomorrow.	
.a'o ko'a ba zi kanro	Hopefully he will be healthy soon.	
.a'o ko'a ba zi zenba lo ka kanro	I hope he'll get better soon.	−
.a'o la .tam. gleki	I hope Tom is in a good mood.	*
.a'o la .alis. gleki	I hope Alice is in a good mood.	*
.a'o la .maris. gleki	I hope Mary is in a good mood.	*
.a'o lo gusni be bu'u lo jipno be lo kevlu'a na se cupra su'o trene poi ca'o muvdu mi	I hope the light at the end of the tunnel is not from the train coming on me.	
.a'o lo nobli cu gidva lo se zukte be mi	Oh, that the Lord would guide my ways.	?
.a'o mi bartu la .tokios. ze'a su'o so'u djedi	I hope to get away from Tokyo for a few days.	
.a'o mi te dunda su'o karce poi kargu gi'a do'a nai na spofu	Hopefully, I'll be given an expensive car or at least one that isn't broken.	−
.a'o mi xabju lo barda zdani de'i da	I hope to live in a mansion someday.	
.a'o mi za'u re'u penmi do	I hope to see you again.	
.a'o nai	I'm hopeless!	
.a'o nai ro da ca se cirko	Everything will be lost now.	
.a'o ti tarmi tu'a do	Let this be an example to you.	?
.a'o nai	Oh no!	?
.a'o nai cai	It's hopeless.	
.a'o nai cai	There's no hope.	
.a'u cu'i na cuntu mi	That's none of my business.	
