Aha, go on, what happened next?	i a'a sei ko di'a co'e ma ba la'e do'i fasnu
Eh, just a second, let me finish this.	a'a cu'i ko denpa lo nu mi mulno zei gasnu ti
La, la, la, I'm not listening.	a'a nai mi na tirna
There's going to be a tsunami!	i a'e pu'o tsunami
There's going to be a tsunami!	a'e ba vlile zei xamsi zei boxna
It's going to be violent weather!	a'e ba vlile tcima
Today is going to be a good day!	a'e lo cabna zei djedi ba xamgu djedi
I'm going to bed.	a'e nai mi ckana zei klama
Yaaaawn... I'm going to bed.	a'e nai mi klama lo ckana
Quit complaining.	ko sisti lo ka pante
I'm tired. I've got to go now.	i mi ca tatpi i ei mi ca cliva
Ah, this is easy.	a'i cu'i ti jai frili
I hope someone sees this.	a'o su'o da viska ti
I hope that you will get well soon.	a'o do ba zi di'a kanro
I hope you feel better tomorrow.	a'o do kanrze'a ca lo balvi zei lamji zei djedi
Hopefully he will be healthy soon.	a'o ko'a ba zi kanro
I hope he'll get better soon.	a'o ko'a ba zi zenba lo ka kanro
I hope Tom is in a good mood.	a'o la tam gleki
I hope the light at the end of the tunnel is not from the train coming on me.	a'o lo gusni be bu'u lo jipno be lo kevna zei pluta na se cupra su'o trene poi ca'o muvdu mi
Oh, that the Lord would guide my ways.	a'o lo nobli cu gidva lo se zukte be mi
Hopefully, I'll be given an expensive car or at least one that isn't broken.	a'o mi te dunda su'o karce poi kargu gi'a do'a nai na spofu
I hope to live in a mansion someday.	a'o mi xabju lo barda zdani de'i da
I hope to see you again.	a'o mi za'u re'u penmi do
I'm hopeless!	a'o nai
Everything will be lost now.	a'o nai ro da ca se cirko
Let this be an example to you.	a'o ti tarmi tu'a do
Oh no!	a'o nai
It's hopeless.	a'o nai cai
There's no hope.	a'o nai cai
That's none of my business.	a'u cu'i na cuntu mi
I'm interested in why bears are important to Lojbanists.	a'u lo cribe cu vajni lo lojbo zei prenu ma
This science fiction story seems interesting. Will you lend it to me when you have finished reading it?	a'u lo ti cumki zei munje zei cfika cu simlu lo ka cinri i e'a pai ca lo nu do fi ri ba'o tcidu cu jbera ri do fa mi
What happened to you?	a'u ma ba'o se lifri do
What compels you to meow?	a'u mu'i ma do mlatu zei cmoni
Why are you meowing?	a'u mu'i ma do mlatu zei cmoni
Yuck, that smells like shit!	a'u nai ta panci simsa lo kalci
How fascinating!	a'u cai
You stink.	a'u nai do to'e pluka se sumne
A is enough, but B is not enough.	a bu banzu i je ku'i by na go'i
I'll definitely do that.	ai sai
I'll gouge out your eyes!	ai le'o mi do kanla zei vimcu
I am going to explain it completely on the wiki.	ai mi ciksi ro da pe ta ve cu'u lo uitki
I'm going to scream.	mi pu'o krixa
I am going to explain it completely on the wiki.	ai mi ba mulno ciksi ve cu'u la uikis
I'm going to scream.	mi pu'o krixa
I'll call first.	ai mi pa moi fonxa zei jorne
I've been meaning to read this book.	ai mi pu'o tcidu le cukta
I'd like to reserve a single room.	ai mi te zei nupre zei cpedu tu'a lo pa kumfa
I'll try to change.	ai mi troci lo ka cenba
I intend to live forever.	ai mi ze'e ba jmive
I'm not planning to work on Monday.	ai nai mi gunka ca lo pa zei djedi
I don't mean to add words of my own devising.	ai nai mi jmina lo valsi poi mi finti
See you at five.	ai penmi do ti'u li cy mu
I'll do my best to get it for you, but I don't promise anything.	ai sai mi cpacu se va'u do nu'e cu'i ku'i
I'll do that without fail.	ai e'e
We can't put a young boy in prison.	ai nai pinfu zei gasnu le nanla
Do you come?	ai pei do klama
I'd love to go there one day.	au iu mi ba klama ta ca da
I don't really care who wins.	na mutce lo ka vajni mi ku fa lo du'u ma kau jinga
I want a boat that will take me far away from here.	au da bloti gi'e se pilno mi lo ka mi fu ce'u klama fi lo zvati zei darno be ti
I'd like some plum jam.	au flaume pesxu
I want to get my ears pierced.	au jadni zei kevna lo mi kerlo
I would like to go to America.	au klama la amerik
My dream is to go to Japan someday.	au klama la nipon ca da
Would that the trees might speak on behalf of all things that have roots, and punish those that wrong them!	au lo tricu cu krati lo ro se genja je cu sfasa lo kusru be gy
I want to run.	au mi bajra
I want to study German.	au mi bangu zei tadni lo bandu'e'u
I want to speak in Lojban.	au mi bangu zei pilno la lojban
I want to be cautious.	au mi ckape zei jundi
I want to learn.	au mi cilre
I want to learn Chinese next year.	au mi cilre fi lo jungo zei bangu ca lo balvi zei lamji zei nanca
I want to kiss you.	au mi cinba do
I want to write a book.	au mi ciska su'o se cukta
I want to eat.	au mi citka
I'd like to eat something.	au mi citka su'o da
I want to leave.	au mi cliva
I want to leave school.	au mi co'u di'i tadni bu'u lo ckule
I want to climb this mountain.	au mi cpare lo vi barda zei cmana
I want to dance.	au mi dansu
That's what I want to know.	au mi djuno ta
I want to have sex with her.	au mi gletu ra
I want to tell her the truth.	au mi djuno zei gasnu ra lo fatci
