i a'a sei ko di'a co'e ma ba la'e do'i fasnu	Aha, go on, what happened next?
a'a cu'i ko denpa lo nu mi mulno zei gasnu ti	Eh, just a second, let me finish this.
a'a nai mi na tirna	La, la, la, I'm not listening.
i a'e pu'o tsunami	There's going to be a tsunami!
a'e ba vlile zei xamsi zei boxna	There's going to be a tsunami!
a'e ba vlile tcima	It's going to be violent weather!
a'e lo cabna zei djedi ba xamgu djedi	Today is going to be a good day!
a'e nai mi ckana zei klama	I'm going to bed.
a'e nai mi klama lo ckana	Yaaaawn... I'm going to bed.
ko sisti lo ka pante	Quit complaining.
i mi ca tatpi i ei mi ca cliva	I'm tired. I've got to go now.
a'i cu'i ti jai frili	Ah, this is easy.
a'o su'o da viska ti	I hope someone sees this.
a'o do ba zi di'a kanro	I hope that you will get well soon.
a'o do kanrze'a ca lo balvi zei lamji zei djedi	I hope you feel better tomorrow.
a'o ko'a ba zi kanro	Hopefully he will be healthy soon.
a'o ko'a ba zi zenba lo ka kanro	I hope he'll get better soon.
a'o la tam gleki	I hope Tom is in a good mood.
a'o lo gusni be bu'u lo jipno be lo kevna zei pluta na se cupra su'o trene poi ca'o muvdu mi	I hope the light at the end of the tunnel is not from the train coming on me.
a'o lo nobli cu gidva lo se zukte be mi	Oh, that the Lord would guide my ways.
a'o mi te dunda su'o karce poi kargu gi'a do'a nai na spofu	Hopefully, I'll be given an expensive car or at least one that isn't broken.
a'o mi xabju lo barda zdani de'i da	I hope to live in a mansion someday.
a'o mi za'u re'u penmi do	I hope to see you again.
a'o nai	I'm hopeless!
a'o nai ro da ca se cirko	Everything will be lost now.
a'o ti tarmi tu'a do	Let this be an example to you.
a'o nai	Oh no!
a'o nai cai	It's hopeless.
a'o nai cai	There's no hope.
a'u cu'i na cuntu mi	That's none of my business.
a'u lo cribe cu vajni lo lojbo zei prenu ma	I'm interested in why bears are important to Lojbanists.
a'u lo ti cumki zei munje zei cfika cu simlu lo ka cinri i e'a pai ca lo nu do fi ri ba'o tcidu cu jbera ri do fa mi	This science fiction story seems interesting. Will you lend it to me when you have finished reading it?
a'u ma ba'o se lifri do	What happened to you?
a'u mu'i ma do mlatu zei cmoni	What compels you to meow?
a'u mu'i ma do mlatu zei cmoni	Why are you meowing?
a'u nai ta panci simsa lo kalci	Yuck, that smells like shit!
a'u cai	How fascinating!
a'u nai do to'e pluka se sumne	You stink.
a bu banzu i je ku'i by na go'i	A is enough, but B is not enough.
ai sai	I'll definitely do that.
ai le'o mi do kanla zei vimcu	I'll gouge out your eyes!
ai mi ciksi ro da pe ta ve cu'u lo uitki	I am going to explain it completely on the wiki.
mi pu'o krixa	I'm going to scream.
ai mi ba mulno ciksi ve cu'u la uikis	I am going to explain it completely on the wiki.
mi pu'o krixa	I'm going to scream.
ai mi pa moi fonxa zei jorne	I'll call first.
ai mi pu'o tcidu le cukta	I've been meaning to read this book.
ai mi te zei nupre zei cpedu tu'a lo pa kumfa	I'd like to reserve a single room.
ai mi troci lo ka cenba	I'll try to change.
ai mi ze'e ba jmive	I intend to live forever.
ai nai mi gunka ca lo pa zei djedi	I'm not planning to work on Monday.
ai nai mi jmina lo valsi poi mi finti	I don't mean to add words of my own devising.
ai penmi do ti'u li cy mu	See you at five.
ai sai mi cpacu se va'u do nu'e cu'i ku'i	I'll do my best to get it for you, but I don't promise anything.
ai e'e	I'll do that without fail.
ai nai pinfu zei gasnu le nanla	We can't put a young boy in prison.
ai pei do klama	Do you come?
au iu mi ba klama ta ca da	I'd love to go there one day.
na mutce lo ka vajni mi ku fa lo du'u ma kau jinga	I don't really care who wins.
au da bloti gi'e se pilno mi lo ka mi fu ce'u klama fi lo zvati zei darno be ti	I want a boat that will take me far away from here.
au flaume pesxu	I'd like some plum jam.
au jadni zei kevna lo mi kerlo	I want to get my ears pierced.
au klama la amerik	I would like to go to America.
au klama la nipon ca da	My dream is to go to Japan someday.
au lo tricu cu krati lo ro se genja je cu sfasa lo kusru be gy	Would that the trees might speak on behalf of all things that have roots, and punish those that wrong them!
au mi bajra	I want to run.
au mi bangu zei tadni lo bandu'e'u	I want to study German.
au mi bangu zei pilno la lojban	I want to speak in Lojban.
au mi ckape zei jundi	I want to be cautious.
au mi cilre	I want to learn.
au mi cilre fi lo jungo zei bangu ca lo balvi zei lamji zei nanca	I want to learn Chinese next year.
au mi cinba do	I want to kiss you.
au mi ciska su'o se cukta	I want to write a book.
au mi citka	I want to eat.
au mi citka su'o da	I'd like to eat something.
au mi cliva	I want to leave.
au mi co'u di'i tadni bu'u lo ckule	I want to leave school.
au mi cpare lo vi barda zei cmana	I want to climb this mountain.
au mi dansu	I want to dance.
au mi djuno ta	That's what I want to know.
au mi gletu ra	I want to have sex with her.
au mi djuno zei gasnu ra lo fatci	I want to tell her the truth.
au mi ko'a tavla	I want to talk to her.
au mi ko'a tavla	I want to talk to him.
au mi no roi se panzi da	I never want to have kids.
au mi se frasbau	I just wish I knew how to speak French.
au mi tavla do	I want to speak with you.
au mi tavla do da poi drata	I want to talk to you about something else.
au mi tavla do lo vi liste	I want to talk to you about this list.
au mi viska do	I'd like to see you.
au mi viska le klaji	I want to see the streets.
au mi viska lo mamta be do	I want to see your mother.
au mi xabju lo tcadu	I want to live in the city.
au mi za'u re'u te vecnu	I want to buy another one.
au na cmila zei frati mi	I don't want to be laughed at.
au nai mi cliva	I'm reluctant to leave.
au nai mi spuda le ra xatra	I do not want to reply to his letter.
au nu do gleki	I wish you happiness.
au pei kelci su'o da	Do you want to play something?
au pikta fi lo ka klama la bostyn	I'd like a ticket to Boston.
mi sipna zei nitcu	I'm sleepy!
mi sipna zei tatpi	I'm sleepy.
au zirpu zei smela pesxu	I'd like some plum jam.
au nai mi ckana zei klama	I don't want to go to bed.
au nai mi klama lo ckule	I don't want to go to school.
au nai mi pinxe lo lenku	I don't want to drink anything cold.
au nai mi tavla do	I don't want to talk to you.
au nai mi tcidu fi lo vi cukta	I don't want to read this book.
au nai mi tirna zei jundi do	I don't want to listen to you.
au pei mi'a vi denpa tu'a do	Shall we wait for you here?
au sai mi klama la misrgu'e	I really want to go to Egypt.
e'a do cliva	You may go.
e'a do limna	You may swim.
e'a do ralte le cukta	You may keep the book.
e'a do zutse zei binxo	You may sit down.
e'a do zukte lo se ckaji zei djica	Do as you want.
e'a la tom cu zukte ro se aidji be ri	Tom may do whatever he wants to.
e'a nai do nenri zei klama	You must not go inside.
e'a nai do ti stali	You can't stay here.
e'a pei mi co'a kansa	Can I join?
e'a pei mi'a do kansa lo ka cadzu zei klama	May we accompany you on your walk?
e'a pei ro'i mi preti zei cusku lo prenu zei srana do	Can I ask you something personal?
e'a do nenri zei klama	Do come in.
e'a nai sai do cliva	I forbid you to leave.
e'a nai do crepu lo xrula	You may not pick the flowers.
e'a pei danmo zei vasxu	May I smoke?
e'a pei mi jbera lo pinsi	Could I borrow a pencil?
e'a pei mi preti zei cusku fi do	May I ask you something?
e'a pei mi tavla la bil	May I speak to Bill?
e'e do lacri mi	You can rely on me.
e'e ko jarco lo se kakne be do	Show them what you can do! Go for it!
e'e mi do bajra jivna fe'e co'u le karce	I'll race you to the car!
e'e mi no zei kansa	I'll be okay by myself.
e'e nai doi kelis	Whoa, Kelly!
e'e nai mi cfila zei facki do lau'u	I can't fault you for that.
e'e nai	I can't.
e'e se'a	I will do it myself.
e'i cai mi do sisti zei gasnu	I've got to stop you.
e'i ko ta mi dunda	Give that to me!
ei mi ckaji zei klama lo ka penmi la tom	I have to go meet with Tom.
ei mi xruti zei dunda lo vi cukta ca lo cabna zei djedi	I have to return this book today.
e'i nai ko zukte lo se djica be do	Do whatever you please!
e'i nai ro roi jetnu zei cusku	You don't have to tell the truth all the time.
ei nai do ti lebna	Feel free to take this.
e'i cu'i lebna ti	Help yourself.
e'o cusku krefu	Please say that again!
e'o do cikre ta	Please fix that.
e'o do denpa i mi troci co to'e cirko fi le vi cukta	Just a minute. I'll see if I can find it in this book.
e'o do di'a cusku lo do lisri	Please go on with your story.
e'o do dunda lo silna mi	Can you pass me the salt, please?
e'o gau do mi viska su'o kacma poi drata	Please show me another camera.
e'o do jukpa lo snuji fi'o te dunda mi	Could you make me a sandwich?
e'o do pinxe lo tcati	Please drink tea.
e'o do bacru masno zenba	Could you talk more slowly, please?
e'o do va'o gi cliva gi ganlgau lo vorme	Please will you close the door when you go out.
e'o do zenba lo ka pu zu co'a sanli ku su'o mentu be li mu	Please stay for 5 more minutes.
e'o do zutse	Please sit down!
e'o ga nai do zifre gi do mi sidju	If you are free, give me a hand.
e'o gau do lo gusni zei tutci co'a akti	Could you turn on the light please?
e'o ko basti zei gasnu fi lo lanci	Change the flag, please.
e'o ko bevri mi fo ti	Please take me away from here!
e'o ko birti le du'u le djacu ku curve	Please make sure the drinking water is pure.
e'o ko ciska lo srana be lo jetnu se lifri be do	Please write about your real experience.
e'o ko co'a dasni lo cutci	Please put on your shoes.
e'o ko co'a dasni lo cutci	Please put your shoes on.
e'o ko cpedu fi la tam fe lo nu jalge fonxa zei jorne mi	Would you ask Tom to call me back, please?
e'o ko curmi lo nu mi ciksi	Please, let me explain.
e'o ko dunda fi mi fe lo blanu zei ckana zei bridi be loi djacu	May I have a glass of water?
e'o ko mi fraxu	I ask that you forgive me.
e'o ko gasnu lo nu co'a gusni	Turn on the light, please.
e'o do djuno zei gasnu mi lo du'u ma kau pluta lo sorpeka tcana	Could you show me the way to the bus stop?
e'o ko jarco tu'a lo pikta be do	Please show your ticket.
e'o ko jinru zei lumci lo cifnu	Please give the baby a bath.
e'o ko kacmterxra fi mi	Would you please take my picture?
e'o ai pei do ti lebna	Could you take this, please?
e'o mi cliva bu'u lo klama zei sisti tcana poi se lidne	Please let me off at the next stop.
e'o ko masno tavla	Please speak slowly.
e'o ko mipri	Please keep it a secret.
e'o ko na djuno zei gasnu	Please don't tell anyone.
e'o do tcidu fi lo valsi zei mei poi cnita	Please read the text below.
